implementation,m,n,q,p,seconds,speedup,cost,exit_code,status,command,raw_output
"Implementation 1 (Serial)",9,9,9,1,0.000004,1.000000,0.000004,0,"ok","./bin/mm_serial 9 9 9","Time: 0.000004 seconds"
"Implementation 2 (MM-1D)",9,9,9,1,0.000011,0.367444,0.000011,0,"ok","mpirun -np 1 ./bin/mm_1d 9 9 9","Local Matrix Multiplication Compute Time: 2.243e-06 seconds Total Runtime: 1.0886e-05 seconds"
"Implementation 3 (MM-2D)",9,9,9,1,0.000005,0.800000,0.000005,0,"ok","mpirun -np 1 ./bin/mm_2d 9 9 9","MM-2D completed Processes (P): 1 Grid size    : 1 x 1 Matrix sizes : A(9x9), B(9x9), C(9x9) Parallel Time: 0.000005 seconds"
"Implementation 1 (Serial)",9,9,9,4,0.000004,1.000000,0.000004,0,"ok","./bin/mm_serial 9 9 9","Time: 0.000004 seconds"
"Implementation 2 (MM-1D)",9,9,9,4,0.000030,0.134098,0.000119,0,"ok","mpirun -np 4 ./bin/mm_1d 9 9 9","Local Matrix Multiplication Compute Time: 7.75e-07 seconds Total Runtime: 2.9829e-05 seconds"
"Implementation 3 (MM-2D)",9,9,9,4,-,-,-,256,"failed","mpirun -np 4 ./bin/mm_2d 9 9 9","Error: m, n, and q must each be divisible by sqrt(P). Usage: mpirun -np P ./mm_2d m n q [print] -------------------------------------------------------------------------- Primary job  terminated normally, but 1 process returned a non-zero exit code. Per user-direction, the job has been aborted. -------------------------------------------------------------------------- -------------------------------------------------------------------------- mpirun detected that one or more processes exited with non-zero status, thus causing the job to be terminated. The first process to do so was:    Process name: [[55979,1],0]   Exit code:    1 --------------------------------------------------------------------------"
"Implementation 1 (Serial)",9,9,9,9,0.000004,1.000000,0.000004,0,"ok","./bin/mm_serial 9 9 9","Time: 0.000004 seconds"
"Implementation 2 (MM-1D)",9,9,9,9,0.000094,0.042400,0.000849,0,"ok","mpirun -np 9 ./bin/mm_1d 9 9 9","Local Matrix Multiplication Compute Time: 3.93e-07 seconds Total Runtime: 9.434e-05 seconds"
"Implementation 3 (MM-2D)",9,9,9,9,0.000131,0.030534,0.001179,0,"ok","mpirun -np 9 ./bin/mm_2d 9 9 9","MM-2D completed Processes (P): 9 Grid size    : 3 x 3 Matrix sizes : A(9x9), B(9x9), C(9x9) Parallel Time: 0.000131 seconds"
